Model,F1_Score,Accuracy,Precision,Recall,ROC_AUC
RandomForest,0.9915492957746479,0.985,1.0,0.9832402234636871,0.99414737962224
GradientBoosting,0.9859943977591037,0.975,0.9887640449438202,0.9832402234636871,0.9901569566374036
XGBoost,0.9915492957746479,0.985,1.0,0.9832402234636871,0.9930832668262836
SVM,0.9805013927576601,0.965,0.9777777777777777,0.9832402234636871,0.9925512104283054
LogisticRegression,0.9830508474576272,0.97,0.9942857142857143,0.9720670391061452,0.991487097632349
NeuralNetwork,0.9693593314763231,0.945,0.9666666666666667,0.9720670391061452,0.9866985900505454
Ensemble,0.9859943977591037,0.975,0.9887640449438202,0.9832402234636871,0.9925512104283054
